# VantagemConfig
# Campos: nome;sigla;descricao;nivel_maximo;formula_custo;descricao_efeito;tipo_vantagem;categoria_nome;ordem_exibicao
# sigla: 2-5 chars, ÚNICA cross-entity por jogo
# tipo_vantagem: VANTAGEM (comprada) ou INSOLITUS (concedida pelo Mestre)
# formula_custo: variáveis disponíveis: nivel, base, total, FOR, AGI, VIG, SAB, INTU, INT, AST
nome;sigla;descricao;nivel_maximo;formula_custo;descricao_efeito;tipo_vantagem;categoria_nome;ordem_exibicao
Memória Fotográfica;MF;Possibilita memória visual plena de tudo que foi visto. Requer Raciocínio 10+.;1;10;Memória visual completa e fotográfica;VANTAGEM;Vantagem Geral;29
# === Vantagem Histórica ===
Herança;HER;O personagem herdou bens e recursos de família ou mentor. Rola 1D3 de Riqueza aplicada.;1;5;Rola 1D3 de Riqueza inicial aplicada;VANTAGEM;Vantagem Histórica;30
Riqueza;RIQ;Representa acumulação de bens materiais e riquezas. Cada nível custa mais PN que o anterior.;3;nivel * 5;+1 Grade de Riqueza por nível (Nv1=5PN, Nv2=10PN, Nv3=15PN);VANTAGEM;Vantagem Histórica;31
Índole Aplicada;IA;Permite alterar a índole do personagem em relação a um alvo adicional por nível.;5;2;Muda índole com 1 alvo adicional por nível;VANTAGEM;Vantagem Histórica;32
Ofícios;OFI;O personagem conhece profissões e ofícios variados do mundo.;2;2;+1 Profissão ou Ofício conhecida por nível;VANTAGEM;Vantagem Histórica;33
Treino de Ofício;TOF;Aprimora a performance do personagem no exercício de ofícios e profissões.;10;4;+1 por nível em testes para exercer ofícios;VANTAGEM;Vantagem Histórica;34
Vínculo com Organização;VO;O personagem possui influência e contatos em uma organização com dezenas de membros.;3;7;Influência em organização com dezenas de membros por nível;VANTAGEM;Vantagem Histórica;35
Capangas;CAP;O personagem possui aliados ou capangas leais que o seguem.;5;5;+1 aliado ou capanga leal por nível;VANTAGEM;Vantagem Histórica;36
# === Vantagem de Renascimento ===
Controle de Dano;CDA;Permite rolar o dado de dano e decidir quanto efetivamente aplicar. Requer 1 Renascimento.;1;5;Decide quanto do dano rolado aplicar ao alvo;VANTAGEM;Vantagem de Renascimento;37
Último Sigilo;USI;Oculta completamente a manifestação visual e sensorial de habilidades mágicas. Requer 1 Renascimento.;1;5;Oculta manifestação mágica de habilidades;VANTAGEM;Vantagem de Renascimento;38
Escaramuça;ESC;Permite realizar ataques falsos e manobras avançadas de combate. Requer 1 Renascimento.;3;3;Ataques falsos e manobras avançadas de combate por nível;VANTAGEM;Vantagem de Renascimento;39
Previsão em Combate;PCO;Antecipa ações em combate afetando Defesa, Ofensiva ou Reatividade. Requer 2 Renascimentos.;3;15;Por nível: +1 em Defesa, Ofensiva ou Reatividade (escolha);VANTAGEM;Vantagem de Renascimento;40
Armas Improvisadas;AI;Permite usar armas improvisadas com eficácia crescente. Requer 1 Renascimento.;10;4;+1 B.B.A e 1 dado (D3→D.UP) por nível com armas improvisadas;VANTAGEM;Vantagem de Renascimento;41
Dano Não Letal;DNL;Converte todos os danos causados em danos não letais por contusão. Requer 1 Renascimento.;1;5;Converte danos para tipo contusão (não letal);VANTAGEM;Vantagem de Renascimento;42
Ação em Cadeia;AEC;Permite agir e atacar durante o Ataque Adicional no mesmo turno. Requer 1 Renascimento e Ataque Adicional.;1;10;Agir e atacar durante o Ataque Adicional;VANTAGEM;Vantagem de Renascimento;43
Atenção Difusa;ATD;Expande o raio de atenção ao redor do personagem em 1 metro por nível. Requer 1 Renascimento.;10;5;+1 metro de raio de atenção ao redor por nível;VANTAGEM;Vantagem de Renascimento;44
Senso Numérico;SNM;Habilidade de precisão numérica excepcional para cálculos instantâneos. Requer 1 Renascimento.;1;10;Precisão numérica instantânea em qualquer cálculo;VANTAGEM;Vantagem de Renascimento;45
Pensamento Bifurcado;PBF;Permite executar ações Independente e Padrão simultaneamente no mesmo turno. Requer 1 Renascimento.;1;10;Executa ações Independente e Padrão ao mesmo tempo;VANTAGEM;Vantagem de Renascimento;46
Memória Eidética;MEI;Lembra de experiências com detalhes completos de todos os sentidos. Requer 1 Renascimento.;1;10;Memória completa e precisa com todos os sentidos;VANTAGEM;Vantagem de Renascimento;47
